Date,Open,High,Low,Close,Volume
2022-01-03 03:00:00,18.6849,19.2498,18.6143,18.985,32852900
2022-01-04 03:00:00,19.0821,19.5763,18.9144,19.5234,43948600
2022-01-05 03:00:00,19.4969,19.6117,19.0026,19.1527,31642900
2022-01-06 03:00:00,19.0997,19.6293,18.9938,19.541,35855900
2022-01-07 03:00:00,19.4969,19.9912,19.3116,19.9735,42886300
2022-01-10 03:00:00,19.9206,20.1942,19.6911,20.1589,41593900
2022-01-11 03:00:00,20.1147,20.609,20.0353,20.609,55923800
2022-01-12 03:00:00,20.5296,20.7414,20.2383,20.5207,41687000
2022-01-13 03:00:00,20.3795,21.0238,20.3442,20.9003,43414600
2022-01-14 03:00:00,20.8032,21.0503,20.662,20.7414,29923100
2022-01-17 03:00:00,20.7061,20.962,20.4325,20.7414,17607200
2022-01-18 03:00:00,20.6443,21.1474,20.5384,20.865,43591400
2022-01-19 03:00:00,21.0238,21.2533,20.6531,20.7237,30925300
2022-01-20 03:00:00,20.7767,20.8914,20.459,20.556,25941700
2022-01-21 03:00:00,20.459,20.8738,20.406,20.5649,38004300
2022-01-24 03:00:00,20.609,20.7855,20.1853,20.5384,39648100
2022-01-25 03:00:00,20.353,21.3151,20.3001,21.2798,39351600
2022-01-26 03:00:00,21.474,21.624,21.015,21.5093,55882300
2022-01-27 03:00:00,21.6152,21.9947,21.3592,21.5887,41544700
2022-01-28 03:00:00,21.3239,21.8976,21.2974,21.88,29444700
2022-01-31 03:00:00,21.7741,22.5154,21.6417,22.3566,44244800
2022-02-01 03:00:00,22.3213,22.6743,22.2242,22.4978,28772200
2022-02-02 03:00:00,22.4801,22.5154,21.9947,22.1447,34506100
2022-02-03 03:00:00,22.2418,22.5331,21.8094,22.4007,41713800
2022-02-04 03:00:00,22.2771,22.7361,22.2418,22.4713,34593900
2022-02-07 03:00:00,22.4625,22.5508,22.2683,22.3478,23095300
2022-02-08 03:00:00,22.3124,22.7008,22.0918,22.5949,37333900
2022-02-09 03:00:00,22.0212,22.4272,21.6858,21.6946,89075400
2022-02-10 03:00:00,21.6681,22.3389,21.5887,22.1094,60312100
2022-02-11 03:00:00,23.2568,23.8305,23.098,23.4157,160669900
2022-02-14 03:00:00,23.4775,23.5569,23.1862,23.3628,37990400
2022-02-15 03:00:00,23.654,23.7423,23.3892,23.5834,29422800
2022-02-16 03:00:00,23.6364,23.7158,23.2833,23.3363,39195100
2022-02-17 03:00:00,23.301,23.3716,22.9126,23.0097,33710600
